,Page Name,User Name,Facebook Id,Likes at Posting,Followers at Posting,Created,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),reactions_sum,reactions_groupavg,score
21,Senator Maggie Hassan,SenatorHassan,523773000968844,23081,37003,2021-04-23 17:20:42 CEST,Status,"2,421",1499,627,56,182,1,45,0,6,5,,0,0,0,,https://www.facebook.com/523773000968844/posts/4326217014057738,Every household in New Hampshire deserves access to affordable broadband.,,,,,,,,6.6,2421,757.2758620689655,3.196985565320341
22,U.S. Senator Bernie Sanders,senatorsanders,9124187907,7314663,7372490,2021-04-27 15:44:41 CEST,Link,"99,381",77914,4152,3704,12329,134,351,29,141,627,,0,0,0,,https://www.facebook.com/9124187907/posts/10159995078667908,I applaud President Biden’s important action to raise the minimum wage for federal contract workers to $15 an hour. Congress should follow his lead and end starvation wages for the rest of the nation. Let’s get it done.,https://apnews.com/article/minimum-wage-coronavirus-government-and-politics-politics-health-d89b279c821af20607a02fbcfd9d8ff4?utm_source=Twitter&utm_medium=AP_Politics&utm_campaign=SocialFlow,,,Biden to sign $15 minimum wage for federal contract workers,"WASHINGTON (AP) — President Joe Biden is set to sign an executive order to increase the minimum wage to $15 an hour for federal contractors, providing a pay bump to hundreds of thousands of workers. Biden administration officials said ahead of Tuesday's signing that the higher wages would lead to ...",,,6.59,99381,43596.68421052631,2.2795540945291592
23,Sen. Jacky Rosen,SenJackyRosen,766794650136727,7972,16674,2021-05-06 02:43:53 CEST,Photo,913,480,202,19,166,4,24,2,7,9,,0,0,0,,https://www.facebook.com/766794650136727/posts/2047633998719446,It was an honor to help welcome First Lady Dr. Jill Biden to Las Vegas today!,https://www.facebook.com/SenJackyRosen/photos/a.800991700050355/2047633972052782/?type=3,,,,,,,6.57,913,435.05555555555554,2.0985825565061935
24,Alex Padilla,alexpadilla4ca,471134912978464,28211,29527,2021-04-29 03:15:19 CEST,Photo,"2,880",1464,197,287,885,4,13,0,3,27,,0,0,0,,https://www.facebook.com/471134912978464/posts/3987229094702344,"HERSTORY: Not just two powerful women, two powerful women from California!",https://www.facebook.com/alexpadilla4ca/photos/a.472188699539752/3987229094702344/?type=3,,,Timeline Photos,,,,6.47,2880,506.5652173913044,5.685348897090378
25,Sen. Jacky Rosen,SenJackyRosen,766794650136727,7944,16633,2021-04-15 21:23:58 CEST,Status,"1,867",473,995,37,90,5,142,4,109,12,,0,0,0,,https://www.facebook.com/766794650136727/posts/2029131973902982,I’m joining the Keep Americans Safe Act to ban high capacity magazines. We must take commonsense steps to prevent widespread gun violence in our communities.,,,,,,,,6.35,1867,435.05555555555554,4.291405950708722
26,Senator John Hickenlooper,SenatorHick,101702821881752,4142,5729,2021-04-22 18:05:26 CEST,Status,"1,147",599,366,20,67,2,26,1,60,6,,0,0,0,,https://www.facebook.com/101702821881752/posts/159072056144828,DC should be a state.,,,,,,,,6.3,1147,380.0625,3.017924683440224
27,Alex Padilla,alexpadilla4ca,471134912978464,28184,29496,2021-04-27 16:01:13 CEST,Photo,"2,753",1533,364,28,771,2,0,0,0,55,,0,0,0,,https://www.facebook.com/471134912978464/posts/3982714785153775,"Angela, Happy Anniversary! Thank you for nine incredible years of love, support, and adventure! The last nine years have certainly been eventful — but we will always be newlyweds. I love you with all my heart. #YouAreTheSunshineOfMyLife photo: Los Angeles City Hall, April 2012",https://www.facebook.com/alexpadilla4ca/photos/a.472188699539752/3982714785153775/?type=3,,,Timeline Photos,,,,6.19,2753,506.5652173913044,5.434640803364518
28,Senator Maggie Hassan,SenatorHassan,523773000968844,23101,37018,2021-04-29 15:38:25 CEST,Photo,"1,937",798,600,25,331,3,148,6,14,12,,0,0,0,,https://www.facebook.com/523773000968844/posts/4343889085623864,Last night was historic.,https://www.facebook.com/SenatorHassan/photos/a.553083364704474/4343876215625151/?type=3,,,,,,,6.11,1937,757.2758620689655,2.557852556805246
29,Senator Tammy Duckworth,SenDuckworth,112300955610529,158418,266745,2021-04-14 20:11:54 CEST,Link,"7,677",5112,997,462,655,26,23,103,125,174,,0,0,0,,https://www.facebook.com/112300955610529/posts/1929186890588584,The video evidence is clear—Lieutenant Nazario was deprived of his civil rights and liberties that are guaranteed under our Constitution. There must be accountability within the Windsor Police Department. https://www.military.com/daily-news/2021/04/14/sen-duckworth-calls-doj-probe-of-brazenly-violent-police-treatment-of-black-army-officer.html,https://www.military.com/daily-news/2021/04/14/sen-duckworth-calls-doj-probe-of-brazenly-violent-police-treatment-of-black-army-officer.html,,,Sen. Duckworth Calls for DOJ Probe of 'Brazenly Violent' Police Treatment of Black Army Officer,"Nazario, who serves in the Virginia National Guard's 29th Infantry Division, filed a lawsuit in U.S. District Court for the Eastern District of Virginia.",,,6.07,7677,3332.535714285714,2.3036512308302344
30,"Senator Angus S. King, Jr.",SenatorAngusSKingJr,142803045874943,44886,68911,2021-04-25 16:05:00 CEST,Photo,"4,079",2356,528,439,617,8,104,1,3,23,,0,0,0,,https://www.facebook.com/142803045874943/posts/1879970985491465,"Quite a week, which started off with a bang on Monday; I’m the masked man next to the President at a meeting in the Oval Office on the infrastructure bill. To my surprise, he opened the meeting by announcing that I was going to manage the discussion, which involved a bipartisan group of five House members and five Senators, all former governors or mayors. There was general agreement that a major infrastructure program was overdue and that it should be paid for. The disagreements were what exactly should be in the package (although I was happy that broadband seemed to be on everybody’s list), and how exactly to pay for it. Although we’re a long way from a deal, both sides seemed genuinely interested in trying to get there and everyone realized compromise would be necessary to make it happen. Getting to ask the questions took me back to my days on MaineWatch, but we never dreamed back in those days of getting to use the Oval Office as a set! The worst part for me was realizing after the press came in to take their pictures that my socks didn’t match. Oh well, at least Mary wasn’t there to see it, and besides, as my dad would say, I have another pair just like them at home.",https://www.facebook.com/SenatorAngusSKingJr/photos/a.143490589139522/1879968155491748/?type=3,,,,,,,6.06,4079,1470.5555555555557,2.7737816395919905
